date,date_year,date_month,date_day,date_quarter,date_is_month_start,date_is_month_end,returns_prc,high_low_diff_mean,high_low_diff_std,open_close_diff_mean,open_close_diff_std,high_low_diff,lag_1_high_low_diff,lag_2_high_low_diff,lag_3_high_low_diff,open_close_diff,lag_1_open_close_diff,lag_2_open_close_diff,lag_3_open_close_diff,volume,lag_1_volume,lag_2_volume,lag_3_volume,adj_close,lag_1_adj_close,lag_2_adj_close,lag_3_adj_close
1980-12-17,1980,12,17,4,0,0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.558,0.558,0.0,0.0,19286400000.0,89443200000.0,382592000000.0,0.0,-2.171,4.777,9.988
1980-12-18,1980,12,18,4,0,0,0.0,0.001,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.558,0.558,-0.707,0.707,2.806,10.443,0.707,-0.707,-1.885,1.885
1980-12-19,1980,12,19,4,0,0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.558,-1.087,0.205,0.881,1.885,1.098,-0.24,-0.858,-1.373
1980-12-22,1980,12,22,4,0,0,0.0,0.001,0.0,0.0,0.0,0.001,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.855,-0.245,1.1,1.803,0.971,0.056,-1.027,-1.526
1980-12-23,1980,12,23,4,0,0,0.0,0.001,0.0,0.0,0.0,-0.0,0.001,-0.0,-0.0,0.0,0.0,0.0,0.0,0.434,-1.144,0.71,4.793,0.984,0.032,-1.015,-2.253
1980-12-24,1980,12,24,4,0,0,0.0,0.001,0.0,0.0,0.0,-0.0,-0.0,0.001,-0.0,0.0,0.0,0.0,0.0,0.665,0.485,-1.15,0.772,1.041,-0.087,-0.954,-1.908
1980-12-26,1980,12,26,4,0,0,0.0,0.001,0.0,0.0,0.0,-0.0,0.0,-0.0,0.001,0.0,0.0,0.0,0.0,1.147,-0.462,-0.686,-2.723,1.083,-0.195,-0.888,-1.421
1980-12-29,1980,12,29,4,0,0,0.0,0.001,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.14,-0.414,-0.727,-0.77,0.704,0.44,-1.145,-2.003
1980-12-30,1980,12,30,4,0,0,-0.356,0.001,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.372,-0.186,-0.186,-0.186,-0.192,1.082,-0.89,-1.287,-0.949,1.044,-0.095,-6.93
1980-12-31,1980,12,31,4,0,1,-0.366,0.001,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.186,0.186,-0.372,-0.372,-1.047,0.102,0.945,-0.359,-1.022,0.044,0.977,0.444
1981-01-02,1981,1,2,1,0,0,0.0,0.001,0.0,0.0,0.0,0.372,-0.186,-0.186,-0.186,-0.372,0.186,0.186,-0.372,-0.843,-0.262,1.105,2.107,-0.165,-0.907,1.072,2.804
1981-01-05,1981,1,5,1,0,0,-0.37,0.001,0.0,0.0,0.0,-0.186,0.372,-0.186,-0.186,0.186,-0.372,0.186,0.186,0.576,-1.155,0.579,4.655,-1.0,1.0,-0.0,2.667
1981-01-06,1981,1,6,1,0,0,-0.388,0.001,0.0,0.0,0.0,-0.186,-0.186,0.372,-0.186,0.186,0.186,-0.372,0.186,0.928,0.131,-1.059,0.133,-1.091,0.218,0.873,0.545
1981-01-07,1981,1,7,1,0,0,-0.405,0.001,0.0,0.001,0.0,-0.0,0.0,0.0,0.558,-0.0,0.0,0.0,-0.558,1.018,-0.037,-0.981,-2.39,-0.985,-0.029,1.014,1.536
1981-01-08,1981,1,8,1,0,0,-0.413,0.001,0.0,0.001,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.875,1.09,-0.215,-1.383,-0.855,-0.244,1.1,2.566
1981-01-09,1981,1,9,1,0,0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.372,0.186,0.186,0.186,-1.023,0.048,0.975,0.36,1.068,-0.915,-0.153,1.525
1981-01-12,1981,1,12,1,0,0,-0.79,0.001,0.0,0.001,0.001,0.372,-0.186,-0.186,-0.186,0.558,-0.558,0.0,-0.0,-0.464,-0.684,1.148,2.733,0.428,0.714,-1.143,-0.429
1981-01-13,1981,1,13,1,0,0,-0.41,0.001,0.0,0.001,0.001,-0.186,0.372,-0.186,-0.186,0.0,0.558,-0.558,0.0,0.265,0.841,-1.106,15.143,-1.138,0.398,0.74,-1.479
1981-01-14,1981,1,14,1,0,0,0.0,0.001,0.0,0.001,0.001,-0.186,-0.186,0.372,-0.186,-0.558,0.0,0.558,-0.558,-1.152,0.514,0.638,0.22,-0.473,-0.676,1.149,1.555
