date,date_year,date_month,date_day,date_quarter,date_is_month_start,date_is_month_end,returns_prc,high_low_diff_mean,high_low_diff_std,open_close_diff_mean,open_close_diff_std,high_low_diff,lag_1_high_low_diff,lag_2_high_low_diff,lag_3_high_low_diff,open_close_diff,lag_1_open_close_diff,lag_2_open_close_diff,lag_3_open_close_diff,volume,lag_1_volume,lag_2_volume,lag_3_volume,adj_close,lag_1_adj_close,lag_2_adj_close,lag_3_adj_close
2017-07-25,2017,7,25,3,0,0,-1.014,1.2,0.0,0.45,0.0,0.0,8025.002,13800.004,900.002,0.0,-3599.998,9600.003,-449.996,0.0,106000.0,726000.0,393000.0,0.0,-750.0,-9450.001,599.998
2017-07-26,2017,7,26,3,0,0,-0.339,1.8,0.849,0.3,0.212,0.707,-0.707,8.75,15.556,-0.707,0.707,-16.264,45.963,-0.707,0.707,1.569,6.608,-0.707,0.707,-6.364,-88.387
2017-07-27,2017,7,27,3,0,0,0.0,1.65,0.654,0.2,0.229,-0.459,1.147,-0.688,11.585,-0.873,-0.218,1.091,-14.621,-0.899,-0.178,1.077,1.841,0.577,-1.155,0.577,-8.083
2017-07-28,2017,7,28,3,0,0,-0.678,1.525,0.802,0.15,0.15,-0.873,-0.218,1.091,-0.405,1.0,-1.0,0.0,2.0,0.99,-1.01,0.021,1.814,-0.577,1.155,-0.577,1.155
2017-07-31,2017,7,31,3,0,1,-16.39,3.695,4.524,2.17,3.502,1.153,-0.634,-0.518,-0.286,1.154,-0.534,-0.62,-0.577,1.063,-0.142,-0.921,-0.52,-1.154,0.557,0.597,0.557
2017-08-01,2017,8,1,3,1,0,-0.402,3.995,4.316,2.22,3.456,-0.404,1.139,-0.735,-0.613,-0.599,1.154,-0.556,-0.642,-0.878,1.089,-0.211,-1.051,-0.646,-0.506,1.152,1.191
2017-08-02,2017,8,2,3,0,0,-10.667,5.72,3.339,3.32,3.04,0.084,-1.039,0.955,-1.466,0.092,-1.043,0.951,-0.994,-0.55,-0.604,1.154,-0.008,-1.146,0.453,0.693,3.519
2017-08-03,2017,8,3,3,0,0,0.0,3.0,2.704,1.25,2.037,-0.832,1.109,-0.277,2.186,-0.614,1.154,-0.54,2.436,1.154,-0.54,-0.614,1.789,-0.369,-0.763,1.132,1.416
2017-08-04,2017,8,4,3,0,0,3.6,2.7,2.874,0.75,2.559,-0.47,-0.679,1.148,-0.157,-0.821,-0.293,1.114,-0.234,-0.831,1.11,-0.279,-0.34,1.134,-0.378,-0.756,1.058
2017-08-07,2017,8,7,3,0,0,-10.465,3.6,4.427,0.9,2.81,1.152,-0.508,-0.644,0.542,1.121,-0.801,-0.32,0.961,-0.465,-0.682,1.148,-0.162,0.832,0.277,-1.109,-1.456
2017-08-08,2017,8,8,3,0,0,2.527,3.7,4.333,0.55,3.035,-0.612,1.154,-0.542,-0.681,-0.527,1.153,-0.626,-0.181,1.07,-0.16,-0.91,5.414,1.106,-0.264,-0.841,-2.283
2017-08-09,2017,8,9,3,0,0,-4.924,6.1,4.374,1.65,2.563,0.56,-1.155,0.594,-1.086,0.117,-1.053,0.936,-1.17,1.123,-0.33,-0.793,-1.075,-0.24,1.098,-0.858,-1.682
2017-08-10,2017,8,10,3,0,0,1.458,3.375,4.489,0.125,1.602,-0.635,1.153,-0.518,1.186,-0.406,1.139,-0.733,2.45,-0.868,1.093,-0.225,-0.646,-1.083,0.195,0.888,-0.124
2017-08-11,2017,8,11,3,0,0,0.0,3.025,4.792,0.475,1.304,-0.631,-0.522,1.153,-0.412,-0.364,-0.767,1.131,-1.169,-0.486,-0.664,1.15,-0.07,-0.902,-0.173,1.075,1.752
2017-08-14,2017,8,14,3,0,0,1.521,0.975,1.262,-0.375,0.327,1.129,-0.773,-0.357,6.004,-0.688,1.147,-0.459,7.112,1.043,-0.093,-0.95,7.753,1.071,-0.91,-0.161,1.124
2017-08-15,2017,8,15,3,0,0,0.0,2.0,1.833,-0.2,0.346,0.873,0.218,-1.091,-0.805,0.577,-1.155,0.577,-0.938,-0.876,1.089,-0.213,-1.196,0.577,0.577,-1.155,-0.499
2017-08-16,2017,8,16,3,0,0,3.08,3.135,0.644,-0.585,0.578,0.419,0.722,-1.141,-4.868,-0.987,1.013,-0.026,1.013,0.497,-1.151,0.655,-0.542,-1.155,0.577,0.577,-4.352
2017-08-17,2017,8,17,3,0,0,4.0,5.21,2.959,-0.885,0.786,1.154,-0.61,-0.544,-0.95,-0.783,-0.344,1.127,0.363,0.921,0.143,-1.064,0.259,-0.577,-0.577,1.155,1.155
2017-08-18,2017,8,18,3,0,0,-4.428,5.61,2.703,-0.355,1.693,-0.3,1.116,-0.816,-0.744,1.149,-0.676,-0.472,0.21,-1.064,0.921,0.143,-1.064,-1.155,0.577,0.577,2.702
2017-08-21,2017,8,21,3,0,0,8.237,5.44,2.918,-0.935,2.295,-0.872,-0.219,1.091,-0.697,-0.854,1.1,-0.246,-0.096,-0.664,-0.486,1.15,0.509,-0.866,-0.229,1.095,1.095
2017-08-22,2017,8,22,3,0,0,5.908,3.315,1.326,-1.11,2.378,-0.803,-0.317,1.12,4.005,-0.385,-0.751,1.135,-0.164,1.063,-0.922,-0.14,7.078,-1.021,0.043,0.978,2.922
2017-08-23,2017,8,23,3,0,0,0.0,1.715,1.52,-1.64,1.485,-1.128,0.352,0.776,2.03,1.104,-0.259,-0.845,2.174,-0.965,1.032,-0.067,0.366,-0.577,-0.577,1.155,2.678
2017-08-24,2017,8,24,3,0,0,10.0,2.05,1.958,-1.975,1.95,0.945,-1.047,0.102,0.432,-0.987,1.013,-0.026,-0.472,0.359,-1.13,0.771,-0.275,1.155,-0.577,-0.577,-0.258
2017-08-25,2017,8,25,3,0,0,0.0,1.3,2.252,-1.3,2.252,-0.577,1.155,-0.577,0.422,0.577,-1.155,0.577,-0.322,-0.434,1.144,-0.71,1.656,0.699,0.446,-1.145,-1.145
2017-08-28,2017,8,28,3,0,0,0.0,1.3,2.252,-1.3,2.252,-0.577,-0.577,1.155,-0.577,0.577,0.577,-1.155,0.577,-0.71,-0.434,1.144,-0.71,0.577,0.577,-1.155,-12.067
