date,date_year,date_month,date_day,date_quarter,date_is_month_start,date_is_month_end,returns_prc,high_low_diff_mean,high_low_diff_std,open_close_diff_mean,open_close_diff_std,high_low_diff,lag_1_high_low_diff,lag_2_high_low_diff,lag_3_high_low_diff,open_close_diff,lag_1_open_close_diff,lag_2_open_close_diff,lag_3_open_close_diff,volume,lag_1_volume,lag_2_volume,lag_3_volume,adj_close,lag_1_adj_close,lag_2_adj_close,lag_3_adj_close
2010-07-02,2010,7,2,3,0,0,-19.792,0.293,0.0,0.253,0.0,0.0,84.0,182.0,204.667,0.0,-50.666,-122.667,-579.333,0.0,46185000000.0,180709500000.0,204397500000.0,0.0,184.0,308.667,312.667
2010-07-06,2010,7,6,3,0,0,-24.146,0.285,0.01,0.256,0.004,-0.707,0.707,8.807,18.256,0.707,-0.707,-12.649,-29.62,0.707,-0.707,1.814,9.158,-0.707,0.707,1.97,2.826
2010-07-07,2010,7,7,3,0,0,-3.797,0.227,0.101,0.184,0.125,-1.152,0.504,0.648,1.476,-1.154,0.601,0.553,0.148,0.604,0.55,-1.154,1.884,-0.658,-0.493,1.151,2.619
2010-07-08,2010,7,8,3,0,0,7.56,0.173,0.092,0.07,0.176,-0.465,-0.683,1.148,1.308,-0.902,-0.173,1.075,1.041,1.153,-0.518,-0.634,-4.289,1.137,-0.744,-0.393,3.108
2010-07-09,2010,7,9,3,0,0,-1.034,0.11,0.02,-0.012,0.067,-1.0,1.0,0.0,8.4,0.357,-1.129,0.773,4.032,-1.13,0.77,0.36,0.332,0.545,0.609,-1.154,-0.825
2010-07-12,2010,7,12,3,0,0,-5.279,0.097,0.03,-0.005,0.076,-0.86,-0.237,1.097,0.43,0.865,0.23,-1.095,0.6,-0.875,-0.216,1.09,0.809,-1.144,0.437,0.708,-6.789
2010-07-13,2010,7,13,3,0,0,4.135,0.092,0.022,0.007,0.055,1.05,-0.941,-0.109,1.674,-1.04,0.955,0.085,-1.729,-0.31,-0.808,1.118,4.934,1.096,-0.863,-0.234,-0.126
2010-07-14,2010,7,14,3,0,0,9.577,0.116,0.044,-0.039,0.094,0.995,0.01,-1.005,-0.581,-0.936,-0.118,1.054,0.542,1.124,-0.332,-0.791,0.985,1.064,-0.145,-0.92,-0.671
2010-07-15,2010,7,15,3,0,0,-0.251,0.147,0.027,-0.058,0.065,0.706,0.438,-1.144,-2.776,0.935,-1.054,0.119,1.802,0.259,0.845,-1.104,-1.718,0.602,0.552,-1.154,-2.248
2010-07-16,2010,7,16,3,0,0,-0.291,0.136,0.046,-0.04,0.075,-1.151,0.655,0.496,-0.443,0.582,0.573,-1.155,-0.136,-1.108,0.273,0.835,-1.036,1.153,-0.521,-0.632,-4.426
2010-07-19,2010,7,19,3,0,0,2.465,0.113,0.047,-0.01,0.023,-0.519,-0.634,1.153,0.996,-1.155,0.592,0.563,-5.113,-0.673,-0.477,1.149,1.811,1.074,-0.17,-0.904,-0.953
2010-07-20,2010,7,20,3,0,0,-7.636,0.097,0.02,0.024,0.072,1.144,-0.437,-0.707,3.5,1.109,-0.833,-0.276,-0.285,-1.14,0.412,0.728,3.354,-0.766,1.131,-0.365,-1.249
2010-07-21,2010,7,21,3,0,0,-2.176,0.101,0.017,0.032,0.07,-0.434,1.144,-0.71,-1.025,-0.041,1.02,-0.979,-0.405,-0.975,-0.048,1.023,1.241,-0.619,-0.535,1.154,-0.178
2010-07-22,2010,7,22,3,0,0,2.381,0.091,0.031,0.033,0.068,-1.041,0.087,0.954,-0.065,-0.971,-0.055,1.026,-1.01,-0.878,-0.21,1.088,2.587,1.15,-0.668,-0.482,3.27
2010-07-23,2010,7,23,3,0,0,0.47,0.062,0.03,-0.004,0.031,-0.944,-0.103,1.048,1.933,-0.099,-0.947,1.046,3.399,-1.005,0.011,0.995,2.907,0.819,0.295,-1.114,-0.97
